gx,gy,gz,grms,ax,ay,az,arms
3376,445,703,3477,124,20468,9668,22636
3392,1049,1500,3854,24,20748,9692,22900
3360,278,497,3407,1232,20484,10284,22953
3344,434,923,3496,28,20128,10152,22543
3376,3553,1638,5167,684,22176,8964,23928
3344,2065,1475,4197,1892,20744,8652,22555
3344,684,1448,3707,504,20492,8152,22059
3344,4,1846,3819,72,21392,8576,23047
3376,258,1286,3621,140,20560,8340,22187
3344,209,375,3371,692,21100,8644,22812
3376,320,1521,3716,444,21096,7824,22504
3344,3259,1290,4844,788,19964,9212,22000
3360,35,240,3368,1312,20316,8416,22029
3344,1315,1508,3896,612,21296,8492,22934
3392,5678,1724,6835,1240,20744,9828,22987
3376,5507,1194,6568,1064,19864,10824,22646
3376,1756,31,3805,1992,18720,12756,22740
3376,581,681,3492,924,19400,10744,22195
3376,375,532,3438,924,19796,10844,22590
3376,1198,743,3658,1124,20100,10812,22851
3360,240,207,3374,864,19944,10704,22651
3360,273,37,3371,988,20452,10676,23091
3344,533,435,3414,1268,19880,10456,22497
3360,960,295,3506,444,20704,10392,23169
3392,72,36,3392,336,19592,10396,22181
3376,60,188,3381,324,20616,10184,22996
3344,146,188,3352,240,20568,10328,23016
3376,722,749,3532,52,20560,10328,23008
3376,1627,1646,4093,176,19612,10404,22201
3376,107,843,3481,952,21460,11312,24277
3360,77,236,3369,40,19480,10252,22013
3376,146,28,3379,80,20708,10692,23305
3344,170,35,3348,312,20000,10524,22602
3360,219,340,3384,164,20096,10236,22553
3360,791,928,3574,52,19392,10044,21838
3376,929,525,3540,1092,20884,11116,23683
3344,1089,775,3601,436,19296,10520,21981
3344,323,425,3386,1016,19940,11668,23125
3376,972,696,3581,204,19824,10412,22392
3408,323,858,3529,848,20320,11132,23184
3360,325,611,3430,536,19784,10828,22559
3344,342,618,3417,536,19856,10968,22690
3408,332,783,3512,284,19992,11008,22824
3360,443,475,3422,68,20120,10992,22926
3360,415,494,3421,548,19992,11136,22890
3376,190,363,3400,584,19756,10924,22582
3360,59,1141,3548,1240,21696,12464,25052
3360,221,602,3420,44,19804,10784,22549
3376,111,731,3456,412,19328,10992,22238
3344,201,213,3356,432,20784,11188,23607
3392,65,240,3401,368,19560,10884,22387
3360,15,64,3360,172,19992,11156,22894
3376,368,1,3395,156,19932,10852,22695
3376,224,560,3429,148,19984,10872,22750
3376,585,396,3449,136,19984,11064,22842
3376,185,648,3442,160,19848,11232,22806
3376,564,841,3524,252,20032,11012,22860
3360,236,621,3425,80,19540,10904,22376
3344,4,651,3406,304,20112,10920,22887
3360,307,845,3478,96,20424,11072,23232
3376,241,1038,3540,4,19436,11068,22366
3360,86,766,3447,604,19988,11108,22875
3360,168,301,3377,916,20132,11208,23059
3360,67,561,3407,684,19540,11120,22492
3392,131,371,3414,136,20404,10928,23146
3392,422,667,3482,796,20236,10924,23010
3360,386,432,3409,664,19688,10908,22517
3344,119,537,3388,384,20040,10892,22811
3344,47,404,3368,480,20244,10916,23004
3360,1458,1178,3847,916,20224,11032,23055
3376,4272,6343,8359,2972,22492,9336,24533
3376,2922,2450,5092,4588,26404,6312,27532
3328,23700,10565,26160,1400,16004,3444,16430
3376,-32768,21847,-26009,3572,16424,2012,16927
3376,22970,11105,25735,2932,15076,10164,18417
3376,5315,21474,22378,2308,15016,13420,20270
3376,11205,10609,15795,6348,15712,9952,19652
3360,18620,3386,19221,7400,14896,8284,18581
3376,8584,4634,10322,964,14112,12400,18810
3392,10821,3115,11760,3892,10464,9804,14858
3360,30715,9292,32265,3140,9692,8604,13335
3360,187,888,3480,3044,6248,13548,15226
3344,209,802,3445,2460,6212,14040,15548
3376,1591,49,3732,284,4912,14096,14930
3360,848,854,3569,2412,6264,13772,15320
3376,184,738,3460,2348,6024,13808,15246
3360,264,568,3417,2216,5744,13928,15228
3344,209,574,3399,1696,5936,13716,15041
3344,212,627,3408,2168,5960,13836,15220
3360,268,505,3408,1884,6164,13816,15245
3344,256,608,3408,2452,5952,13764,15194
3376,288,473,3421,1724,5868,13864,15153
3376,267,550,3430,1924,6124,13940,15346
3344,228,578,3401,1876,6060,13900,15279
3344,229,618,3408,2044,5936,13696,15066
3360,237,589,3419,2060,5984,13828,15207
3360,251,594,3421,2416,5732,13856,15188
3392,158,576,3444,2032,5908,13700,15057
3344,267,601,3408,1648,6132,13740,15136
3344,178,671,3415,1900,5944,13668,15025
3360,229,563,3414,1808,5944,13808,15141
3392,205,632,3456,2064,5924,13752,15115
3376,260,584,3435,1748,5992,13752,15102
3344,217,618,3407,2072,5904,13604,14973
3344,220,585,3401,2180,5948,13864,15242
3376,475,530,3450,1752,5956,13788,15121
3360,329,647,3437,1884,6544,13192,14845
3360,199,610,3420,2224,5864,13936,15282
3360,258,620,3426,1892,6064,13764,15159
3328,232,596,3388,2028,6024,13844,15233
3360,213,578,3415,2024,5892,13820,15159
3360,216,603,3420,1984,6036,13964,15341
3360,218,587,3417,2232,5876,13796,15160
3344,233,571,3400,2068,5872,13756,15099
3360,218,622,3424,1688,6028,13560,14935
3360,237,613,3423,2324,5972,13776,15193
3344,251,641,3414,1752,5980,13776,15119
3360,215,596,3419,1824,5928,13720,15056
3360,225,590,3418,2092,5908,13924,15269
3344,233,587,3403,2280,5884,13668,15054
3376,236,615,3439,2296,6024,13844,15271
3360,237,612,3423,2224,5916,13860,15233
3312,222,624,3377,2052,5996,13688,15083
3360,227,604,3421,2144,5992,13764,15164
3360,234,627,3426,2276,5944,13776,15175
3328,229,599,3389,2520,5824,13696,15094
3328,223,606,3390,2040,5856,13748,15081
3360,227,586,3418,1792,6032,13788,15156
3360,248,609,3423,1820,6024,13756,15127
