gx,gy,gz,grms,ax,ay,az,arms
3952,525,681,4044,2544,4108,19264,19860
3904,247,359,3928,2944,4336,19148,19852
3936,24,704,3998,2564,4432,19068,19743
3904,35,503,3936,2748,4084,19040,19666
3968,848,384,4075,3384,4620,18916,19763
3920,2893,387,4887,2248,4148,18864,19445
3968,2330,1313,4785,2740,4024,19080,19691
3888,2679,145,4723,2560,3216,18928,19369
3936,1066,834,4162,2780,2868,18916,19333
3968,2121,431,4519,2484,2388,18884,19195
3936,2839,276,4860,2448,1600,18700,18927
3952,2572,218,4720,3352,1316,18600,18945
3920,1506,1371,4417,2716,980,18584,18806
3952,1252,419,4166,3672,1648,18740,19167
3952,580,178,3998,2872,1380,18436,18709
3952,113,1586,4259,2104,1024,18428,18575
3952,46,665,4007,2816,1364,18592,18853
3936,987,948,4167,3216,848,18816,19107
3936,784,483,4042,1848,1368,18432,18574
3936,1561,736,4297,2100,1260,18432,18593
3936,668,28,3992,2192,1284,18384,18558
3936,66,235,3943,3056,1684,18592,18916
3936,759,961,4122,3004,1188,18712,18988
3904,439,149,3931,2384,1716,18828,19055
3904,472,543,3969,2312,1720,18856,19074
3888,742,579,4000,3096,2372,18568,18973
3888,1214,732,4138,2060,2224,18680,18924
3920,1071,1393,4295,2260,2272,18816,19086
3920,1566,357,4236,2688,2576,18856,19220
3888,228,536,3931,2576,2128,18796,19090
3936,1525,145,4223,3188,2764,18688,19158
3904,859,607,4043,3312,1724,19152,19512
3936,1265,482,4162,2832,2624,18884,19274
3904,141,621,3955,3540,1944,18656,19088
3920,617,95,3969,2644,2088,18408,18713
3904,56,47,3904,2320,1740,18728,18951
3904,329,572,3959,2572,2108,18800,19091
3920,650,384,3992,3028,2452,18836,19234
3904,596,589,3992,2044,2244,18800,19043
3904,515,721,4003,3000,2256,18796,19167
3920,579,555,4001,2068,2800,18724,19044
3920,1564,390,4238,3148,2620,18904,19342
3952,743,515,4054,2064,1928,18880,19090
3888,2967,490,4915,3012,1476,18608,18907
3920,362,774,4012,2920,1428,19000,19276
3920,450,444,3970,2788,904,19088,19311
3904,408,600,3970,2592,1388,18652,18882
3888,887,71,3988,2340,2888,18684,19050
3920,647,251,3980,2340,2724,18992,19328
3920,1959,436,4403,4136,2800,18528,19189
3920,1591,519,4262,3140,2400,18764,19175
3856,1397,1027,4227,2936,2232,18752,19111
3888,483,717,3982,2800,1944,18592,18901
3888,544,1180,4099,2660,2604,19000,19361
3904,956,585,4061,3532,2396,18976,19450
3872,1243,717,4129,2996,2124,18544,18904
3904,1677,18,4248,2952,2312,18516,18891
3904,867,252,4007,3036,956,18660,18929
3904,2889,523,4884,2688,616,18536,18740
3872,188,1171,4049,3560,1092,18680,19047
3904,3365,957,5242,3168,988,18448,18744
3904,408,347,3940,3144,2100,17948,18341
3872,1887,161,4310,2768,956,17704,17944
3904,1488,221,4183,5356,1544,16976,17867
3872,887,1164,4139,3984,1380,17932,18421
3952,587,26,3995,3684,288,18176,18547
3888,2049,996,4506,3916,276,18208,18626
3936,1658,1442,4507,3328,1128,18524,18854
3888,2544,420,4665,4300,1352,18564,19103
3920,1633,2173,4770,3904,1960,18308,18821
3856,1038,2413,4665,3500,2964,18692,19246
3888,352,920,4010,2960,2204,18960,19315
3888,530,598,3969,3964,2656,18732,19330
3872,250,265,3889,3316,2836,18792,19291
3872,251,633,3931,2876,2644,18480,18888
3872,180,350,3891,4176,3464,18692,19463
3872,1275,201,4081,4452,2020,18956,19576
3872,69,262,3881,4024,1968,18412,18949
3856,3610,387,5296,2980,1872,18000,18340
3888,1026,1695,4363,3132,2832,18948,19412
3888,7,348,3903,3552,2832,18584,19131
3856,530,2292,4516,4616,2904,18440,19229
3872,29,1790,4265,4700,2584,18744,19496
3904,812,632,4037,5212,3112,18360,19337
3888,1270,1238,4273,4700,2828,18752,19537
3872,3652,1782,5612,4056,2976,18792,19453
3888,217,143,3896,4692,3724,18164,19126
3872,977,1353,4216,5732,4324,18324,19680
3888,1162,864,4148,4964,2864,18604,19466
3856,4579,760,6034,4224,3468,18740,19520
3856,1963,897,4418,5180,2524,18284,19170
3856,1808,54,4259,4568,2088,18360,19034
3856,1781,179,4251,5608,1840,18260,19190
3872,4949,1033,6368,3936,2496,18100,18690
3840,1964,444,4335,5688,1844,18032,18997
3840,1585,184,4158,5816,2436,18628,19666
3872,466,113,3901,4736,2888,18204,19030
3872,520,1256,4103,4312,3288,18356,19140
3872,2039,1098,4511,4756,3244,18664,19531
3872,2523,181,4625,5604,2848,18880,19899
3904,206,2073,4425,4760,2988,18136,18986
3856,1371,1633,4406,4216,2992,19196,19879
3888,3726,73,5385,3940,3372,18512,19224
3872,2944,398,4880,4692,2048,18516,19210
3872,2513,386,4632,4484,1852,18944,19555
3888,1066,1203,4207,4212,1844,18308,18876
3920,736,2371,4640,4960,1796,18232,18979
3856,2203,701,4495,4496,1320,18748,19324
3840,1986,339,4336,5480,2064,18148,19069
3872,884,634,4021,4524,1704,17876,18518
3840,891,614,3989,4468,1432,18196,18791
3840,2722,21,4706,5276,2304,18556,19428
3840,904,2134,4485,5468,3068,18432,19469
3872,1451,3322,5304,5240,2324,17988,18879
3888,2628,87,4693,5504,2936,17764,18827
3888,4856,378,6232,4508,3364,17784,18652
3856,285,698,3929,6672,2640,19196,20493
3824,470,1197,4034,4064,5720,16132,17591
3840,2447,1755,4879,5804,1432,20652,21499
3872,2402,1349,4752,3916,2468,18348,18922
3872,1541,605,4211,4376,3308,18192,19001
3840,4965,1613,6480,5824,4020,18316,19635
3840,1443,1434,4345,5248,3348,18720,19727
3840,3315,2643,5720,3584,2876,17824,18406
3840,2510,2026,5015,4420,5268,18928,20138
3840,780,1630,4243,3512,4488,19320,20142
3824,882,1108,4077,4228,5312,18404,19616
3856,2405,426,4564,2536,4372,19068,19726
3824,1642,1141,4315,3568,3564,18656,19325
3856,1091,1102,4156,3608,3744,18904,19606
3856,3027,4911,6938,3604,3156,19684,20258
3824,51,541,3862,2664,3624,18744,19276
3824,738,314,3907,3520,3744,18868,19555
3824,458,1113,4008,2896,3532,18712,19261
3824,565,153,3868,2672,2952,18900,19314
3840,805,839,4012,3728,3184,19036,19657
3840,335,658,3910,3960,3112,18816,19478
3840,909,833,4033,4448,2940,18880,19618
3824,1836,511,4272,3688,2720,18604,19160
3808,1341,233,4043,3684,2636,18464,19011
3840,889,1051,4079,4156,2372,18540,19147
3856,2482,1767,4914,3396,2904,18636,19164
3840,3036,1301,5065,4272,3548,19048,19840
3840,6330,3653,8255,3740,3700,18580,19310
3808,2382,1839,4853,4356,7676,18764,20736
3856,29435,14266,-32600,9380,548,22472,24357
3808,3156,3960,6335,6396,5896,20040,21846
3808,24736,400,25030,2204,4380,17496,18170
3824,10319,6967,13024,2248,15188,14684,21244
3872,13614,14412,20199,828,14752,14600,20771
3872,32430,9522,-31516,6416,15848,7136,18526
