gx,gy,gz,grms,ax,ay,az,arms
4080,336,707,4154,3132,11368,18324,21790
4064,387,619,4129,3600,11400,17884,21511
4096,470,410,4143,2592,11432,17956,21443
4064,886,1077,4296,2932,11092,18140,21463
4080,908,1153,4335,3016,11096,18024,21379
4064,1191,701,4292,2648,10980,18268,21477
4064,907,679,4218,2368,10992,18416,21577
4064,535,546,4135,2876,10944,18344,21553
4064,296,534,4109,2824,10652,18600,21619
4064,158,378,4084,3240,10872,18176,21425
4096,36,404,4116,2512,10820,18148,21277
4096,71,324,4109,2568,11024,18440,21636
4096,221,566,4140,2600,10712,18156,21240
4112,282,591,4163,2752,11088,18452,21702
4032,89,583,4074,2648,11764,18392,21992
4080,6,406,4100,2280,11120,18292,21527
4048,80,595,4092,2708,11064,18180,21453
4080,294,512,4122,2816,11272,17992,21417
4080,58,494,4110,2440,11036,18112,21349
4080,76,470,4107,3152,11452,17984,21552
4080,252,661,4140,2872,11584,18092,21673
4096,194,831,4183,2324,11444,18136,21570
4064,340,809,4157,2248,11568,18060,21564
4096,351,494,4140,2472,11344,18012,21429
4064,339,786,4153,2592,11112,17924,21247
4064,387,559,4120,2284,11292,18364,21678
4032,609,830,4161,2728,11380,18048,21509
4064,970,810,4255,2236,11228,18172,21477
4048,742,603,4159,2056,11100,18276,21481
4096,716,574,4197,2516,10936,18308,21473
4064,1008,728,4249,2948,11016,18312,21572
4048,1656,524,4404,2584,10552,18532,21481
4048,400,668,4122,2312,10424,18296,21183
4080,393,157,4101,2484,10836,18384,21483
4064,410,353,4099,2940,10756,18344,21467
4064,172,559,4105,2904,10952,18420,21625
4096,106,683,4153,2264,10976,18312,21469
4064,1226,865,4332,2244,10640,18196,21197
4080,710,584,4182,2740,11312,18224,21623
4080,4730,779,6294,2608,11788,17568,21316
4080,482,708,4168,2576,11548,17976,21520
4048,37,152,4051,2368,12184,17708,21624
4064,716,716,4188,2608,12040,17668,21538
4096,3226,1518,5430,2848,11648,17428,21154
4096,3512,883,5467,2068,11648,18272,21767
4080,687,119,4139,2308,11144,17732,21069
4048,67,31,4048,2464,11044,18432,21628
4048,583,462,4115,2392,11160,18320,21584
4048,363,531,4098,2784,11096,18184,21483
4064,670,347,4133,2588,12080,18236,22026
4032,1022,681,4214,3148,11492,17812,21429
4048,125,804,4128,2780,11720,18020,21675
4048,441,591,4114,2192,11108,18124,21369
4064,242,752,4140,2348,11192,17928,21264
4080,149,744,4149,2408,11952,17896,21654
4080,110,681,4137,2460,11528,18204,21687
4048,141,710,4112,1908,11716,18084,21631
4080,141,436,4105,1944,11600,17972,21478
4048,13,623,4095,1732,11776,17916,21509
4048,6,588,4090,2336,11872,17996,21685
4048,206,616,4099,2000,11884,18068,21718
4048,85,766,4120,1848,11964,17640,21394
4048,183,843,4138,1936,11996,18044,21754
4048,398,721,4130,2408,11948,18008,21744
4048,130,638,4100,2300,12080,17916,21730
4048,403,408,4088,1928,12132,17980,21775
4048,164,530,4085,2464,12132,17688,21589
4048,164,709,4112,2516,12132,17708,21612
4048,291,386,4076,1828,12548,18112,22109
4048,309,797,4137,2364,13016,17840,22209
4064,642,1650,4432,1980,12900,17764,22042
4000,1418,1034,4368,2488,11968,17932,21702
4064,1285,466,4287,2452,11920,17480,21299
4032,768,488,4133,2080,12076,18020,21791
4048,297,528,4093,2300,11852,17640,21375
4096,151,318,4111,1576,12020,17956,21665
4032,262,584,4082,2100,12096,17840,21656
4064,103,827,4148,2496,12292,17864,21827
4048,333,534,4096,1752,12292,18080,21932
4048,376,655,4117,2164,12180,17872,21735
4064,1034,717,4254,2288,12464,17852,21892
4096,730,572,4199,1708,12132,18188,21929
4048,276,431,4080,1532,11924,18184,21798
4048,37,543,4084,2084,11500,17804,21297
4048,90,648,4100,1632,12020,17984,21692
4064,138,564,4105,2032,11884,17696,21412
4064,513,603,4140,2188,12304,17880,21814
4016,138,667,4073,2068,12248,17836,21735
4016,1,1107,4165,1872,12728,17728,21904
4064,366,360,4096,2064,12552,18024,22060
4048,160,268,4060,2144,12812,18128,22301
4064,835,546,4184,1680,12556,17500,21603
4048,75,335,4062,2252,12376,17700,21714
4016,108,427,4040,2100,12512,17796,21855
4016,47,530,4051,1852,12536,17780,21833
4064,158,542,4103,2104,12472,17768,21810
4032,122,527,4068,1988,12404,17936,21897
4064,207,701,4129,2244,12000,17924,21686
4032,111,528,4067,2224,12920,17972,22245
4048,239,776,4128,1980,12720,17788,21957
4048,326,1097,4206,1972,12092,17776,21589
4032,606,955,4187,1912,11912,17980,21652
4064,591,736,4172,1864,11980,17488,21279
4064,1268,622,4302,2192,12516,17892,21944
4032,647,311,4095,2248,12568,17856,21950
4048,125,313,4062,1692,12336,17696,21637
4048,110,394,4068,2176,12656,17916,22042
4016,126,615,4064,2068,12348,17624,21618
4048,126,564,4089,2080,12376,17896,21857
4048,154,575,4091,1780,12384,17720,21691
4016,109,798,4095,1796,12728,17760,21923
4048,419,659,4122,1816,12784,17904,22074
4048,185,707,4113,1956,12548,17708,21791
4032,173,584,4077,1812,12808,17620,21858
4032,181,687,4094,1540,12692,18124,22179
4032,172,539,4071,1448,12324,17780,21681
4064,17,53,4064,1744,12860,18004,22193
4048,531,266,4091,1936,11908,17760,21470
4032,425,972,4169,1868,12484,18068,22040
4032,708,865,4184,1584,12288,18044,21888
4048,448,515,4105,2128,12360,17872,21833
4048,294,568,4098,2036,12192,17964,21805
4016,77,589,4059,1848,11876,17876,21540
4032,151,930,4140,2232,11900,18064,21746
4080,823,750,4229,2344,12284,17888,21825
4048,187,486,4081,1772,11776,17728,21356
4016,714,759,4148,1796,11468,17976,21398
4048,524,467,4108,1424,12540,18480,22378
4016,126,316,4030,2096,11892,17632,21370
4048,1068,603,4229,2152,11764,17816,21457
4048,499,304,4089,1488,12240,18216,21996
4032,218,333,4051,1640,11632,18112,21587
4032,13,299,4043,2564,11728,18192,21796
4032,398,573,4091,2476,11912,17908,21650
4032,4054,623,5751,2464,11924,18504,22150
4032,333,267,4054,2832,11616,18120,21709
4032,3197,1243,5293,2408,9468,17600,20129
4032,1909,534,4492,896,12036,18388,21995
4064,2057,930,4648,2944,11340,17440,21009
4032,1442,91,4283,996,11544,18436,21774
4048,2050,368,4552,2088,10768,18100,21164
4016,2378,1166,4810,2216,11508,18388,21805
4016,1070,306,4167,2724,10696,21204,23904
4032,2262,122,4624,2216,9944,18004,20686
4048,1191,265,4227,3260,9464,18368,20918
4016,4424,116,5976,2740,8956,18940,21129
4048,2595,903,4892,3524,9016,19140,21448
4000,3844,637,5584,3832,6876,19100,20658
4016,977,404,4152,2136,7796,19396,21012
4048,877,784,4215,3656,7044,19044,20631
4000,250,952,4119,3364,7160,19068,20643
4016,113,867,4110,2916,7292,19116,20666
4016,635,875,4158,3500,6844,19172,20655
4032,247,633,4088,3112,6652,19220,20575
4000,567,266,4048,2836,6500,19116,20389
4032,243,570,4079,2532,6512,19212,20443
4048,1076,689,4244,3568,7504,18956,20697
4032,1179,643,4249,3380,6912,18640,20165
4032,468,87,4060,3020,7812,18732,20519
3984,1455,705,4299,3996,7328,18376,20182
4016,3718,337,5483,2896,8592,18884,20947
4016,2440,1465,4922,3720,9728,18040,20830
4016,705,2149,4609,2864,9792,18700,21302
4032,1124,6815,7997,3164,9256,18448,20880
4032,1166,7411,8517,824,10628,18580,21420
4000,2014,6947,8265,808,13816,15764,20977
4000,1496,5547,7000,248,12112,17988,21687
4032,1834,7403,8626,996,11292,17644,20971
4016,5465,4065,7906,776,9920,18084,20640
4016,5500,2664,7312,5568,8532,23140,25283
4032,4224,982,5921,2784,6516,20360,21557
