gx,gy,gz,grms,ax,ay,az,arms
4240,231,2028,5303,3412,6456,19116,20463
4208,244,350,4248,3564,5820,19548,20705
4208,257,1442,4693,4272,5984,17908,19358
4224,222,2357,4866,1016,6120,19044,20028
4240,229,1075,4449,2564,6436,19324,20528
4240,223,185,4416,2432,6036,19360,20424
4208,228,333,4229,2456,6336,19132,20302
4224,231,683,4278,2668,6512,19076,20332
4224,240,435,4259,2724,6448,19016,20263
4256,254,823,4371,2400,6632,19316,20563
4208,229,361,4228,2832,6728,19216,20555
4240,239,83,4241,2648,6572,19324,20582
4224,227,96,4313,2572,6760,19148,20468
4224,237,55,4225,2788,7152,18784,20291
4208,238,43,4208,2836,7108,18848,20342
4208,249,299,4229,3084,7064,19132,20626
4224,244,232,4249,3636,6668,19408,20841
4208,229,546,4289,3808,6536,19144,20584
4208,228,509,4336,4476,6760,19044,20697
4224,232,123,4372,4092,7036,18808,20493
4208,223,278,4285,3768,7180,18944,20606
4208,248,434,4443,4032,7560,18756,20620
4208,242,499,4463,4340,8500,18516,20830
4208,234,457,4672,4376,8364,18852,21083
4224,223,751,4537,4076,8864,18472,20890
4240,240,443,4515,4008,9216,18404,20969
4208,238,560,4339,3984,9360,18496,21108
4176,232,800,4269,4520,9632,18244,21119
4176,220,608,4221,3980,9816,17984,20871
4224,234,596,4282,3936,9800,18224,21062
4192,229,535,4280,4448,9792,18520,21416
4176,231,189,4239,4120,9576,18500,21234
4192,244,295,4418,4116,9564,18472,21204
4192,223,165,4195,4512,10244,17972,21172
4192,235,147,4477,4820,10248,18168,21408
4160,233,388,4596,4364,9676,18284,21141
4192,241,131,4334,4976,9976,17524,20769
4208,241,1338,4601,4700,8920,18308,20900
4208,224,1155,4480,5040,8240,18224,20625
4192,231,591,4265,4520,8376,18884,21146
4224,72,556,4261,4448,8616,18576,20954
4192,835,1444,4648,7376,1460,19948,21318
4192,463,861,4283,4788,9140,18352,21053
4176,19,595,4417,4192,8952,18316,20813
4224,199,679,4290,4880,9540,18492,21372
4192,223,365,4406,4848,9472,18356,21217
4192,205,721,4267,4600,11212,19500,22959
4160,173,891,4330,4400,8732,18244,20699
4192,222,343,4232,4748,8204,18636,20908
