3760,630,421,3835,5708,5792,18248,19977
3792,2051,796,4384,7312,6296,19528,21781
3792,2323,603,4487,5312,5924,18740,20359
3808,79,886,3910,5200,5056,18644,20005
3776,3917,978,5527,7376,6020,18872,21137
3792,545,898,3934,6512,5708,17796,19791
3792,11236,678,11877,5624,5336,18424,19988
3792,3772,1281,5499,6520,3944,18260,19786
3776,2234,1655,4689,6756,4124,17980,19645
3776,1100,655,3987,5600,4416,18168,19517
3776,785,696,3919,6200,4500,18140,19691
3776,1151,1481,4216,6956,4524,17952,19776
3776,129,1612,4107,6444,4528,18396,20011
3776,55,1468,4051,5832,4528,18508,19926
3808,233,716,3881,6204,4872,18248,19880
3760,1782,458,4186,5296,4240,18532,19734
3792,1131,947,4068,5252,4568,18284,19564
3760,973,667,3940,5428,5004,18284,19718
3792,553,12,3832,6268,5416,18284,20073
3744,19,141,3746,6584,5588,18396,20322
3776,2049,391,4313,5852,5048,18432,19986
3776,467,639,3858,6252,5108,18580,20258
3776,572,1570,4129,5472,5220,18388,19882
3760,1311,1882,4404,4420,5032,18800,19957
3760,1807,406,4191,5276,5848,18308,19930
3776,1017,61,3911,5340,5528,18568,20095
3744,919,2882,4813,5776,4856,18024,19539
3744,3278,324,4986,6380,5348,18408,20202
3760,2175,925,4441,5040,3564,18784,19772
3760,2266,1130,4533,4528,4144,18576,19563
3744,1545,382,4068,4664,4064,18340,19355
3728,339,956,3863,4740,4332,18640,19715
3728,2153,659,4355,5496,5272,18696,20187
3776,1266,407,4003,4396,5120,18480,19673
3712,1186,337,3911,5340,5532,18556,20085
3760,1949,932,4336,5548,6000,18860,20554
3760,2593,267,4575,5028,6556,17860,19678
3728,2973,1741,5076,5392,6032,18524,20213
3744,2256,1165,4523,5900,6128,18384,20256
3744,1636,242,4092,4668,4872,18420,19616
3744,2508,1129,4645,5768,4504,18704,20084
3744,855,917,3948,5164,4292,18520,19699
3760,20,530,3797,5832,4672,18292,19759
3712,1543,1103,4168,5164,4540,18604,19833
3744,867,1016,3975,5580,4960,18860,20283
3712,614,482,3793,4896,5328,18576,19935
3744,1070,828,3980,4896,5432,18556,19944
3728,1525,519,4061,5040,6064,18256,19886
3728,966,610,3899,5516,6972,18296,20341
3728,2431,3,4450,5212,6088,18628,20278
3744,1386,793,4070,5348,5544,18408,19954
3744,1899,840,4281,5824,5576,18592,20265
3744,738,617,3865,5968,5336,18692,20334
3712,382,610,3781,4736,5364,18616,19943
3744,875,702,3908,5112,5028,18584,19919
3712,724,203,3787,5596,5840,18636,20315
3680,153,579,3728,5372,5632,18508,20077
3744,1170,167,3926,5444,5288,18448,19948
3744,781,314,3837,5096,5852,18784,20323
3712,671,776,3851,5080,5132,18680,20027
3712,45,318,3725,6068,5520,18512,20248
3712,272,950,3841,5280,5200,18776,20185
3744,2272,260,4387,5356,5360,18892,20354
3712,2167,1775,4650,5472,5804,19076,20676
3712,143,838,3808,4704,6788,18544,20299
3728,2320,985,4500,5068,6452,18304,20058
3728,1790,595,4178,4736,6016,18748,20251
3712,1751,420,4125,5728,5624,18564,20225
3696,1314,362,3939,5440,5008,18796,20198
3696,84,1189,3883,5108,5260,18828,20205
3728,511,541,3801,5440,5740,18548,20163
3728,797,546,3851,5588,5688,18552,20192
3712,273,630,3774,5096,6044,18524,20140
3712,453,854,3835,4968,5940,18668,20210
3680,909,689,3852,5264,5988,18644,20277
3712,851,820,3895,4964,6324,18360,20043
3712,1444,1288,4186,5220,6780,18516,20397
3696,890,326,3815,4972,7260,18184,20201
3696,271,584,3751,4716,6892,18508,20304
3680,3804,292,5300,4996,6832,18600,20435
3712,1020,488,3880,5796,6048,18668,20461
3680,1433,302,3960,5128,6092,18768,20387
3696,2018,1001,4328,4752,5320,18480,19808
3696,825,959,3906,6212,5492,18716,20470
3696,946,790,3896,5512,5512,18836,20385
3712,925,1094,3978,5672,5508,18476,20096
3696,296,251,3716,5064,6228,18592,20250
3696,385,717,3784,5132,6160,18672,20320
3680,1235,10,3881,4644,5908,18516,19982
3680,669,94,3741,5100,6364,18504,20221
3696,154,291,3710,5600,6532,18616,20508
3680,887,26,3785,4800,6552,18544,20244
3680,1412,2315,4571,6180,5956,18828,20692
3664,1148,1405,4088,4780,6500,18808,20465
3648,1933,2174,4665,5456,7172,18456,20538
3712,1994,659,4264,5840,6144,18852,20670
