gx,gy,gz,grms,ax,ay,az,arms
2704,90,676,2788,36,22184,3512,22460
2752,18,663,2830,360,22128,3820,22458
2736,191,696,2829,204,22088,3464,22358
2752,17,439,2786,0,21932,3444,22200
2736,171,439,2776,204,22120,3348,22372
2736,280,1329,3054,20,21792,3632,22092
2704,3614,429,4533,772,20980,3608,21301
2736,2433,557,3703,736,22228,5368,22878
2704,978,716,2963,640,22528,5428,23181
2704,12,350,2726,116,22292,4196,22683
2720,922,751,2968,92,21884,4700,22383
2752,469,774,2896,764,21748,4484,22218
2720,205,591,2791,560,21908,4248,22323
2704,319,220,2731,312,21988,4192,22386
2704,483,141,2750,384,21928,4356,22359
2704,35,883,2844,292,21972,4540,22438
2704,646,1103,2990,532,22248,4188,22644
2688,219,1379,3029,616,21956,3756,22283
2720,1445,289,3093,52,22224,3864,22557
2736,3121,558,4187,520,21732,4888,22280
2656,219,561,2723,412,21584,5328,22235
2688,88,721,2784,356,22336,4388,22765
2688,634,902,2905,412,21992,4680,22488
2688,314,925,2859,376,22016,4540,22482
2656,257,689,2755,480,21876,4472,22333
2672,26,640,2747,404,21948,4420,22392
2704,143,615,2776,428,21776,4332,22206
2672,643,1188,2994,296,21960,4236,22366
2720,469,1251,3030,264,22168,4320,22586
2688,2150,449,3471,768,21900,2940,22109
2736,2004,286,3403,520,21816,5560,22519
2704,253,600,2781,1476,21096,4944,21717
2672,909,764,2923,220,21956,4748,22464
2704,243,1033,2904,648,21800,4344,22238
2672,238,638,2757,484,21852,4604,22336
2672,224,443,2717,444,21780,4656,22276
2656,47,560,2714,472,22012,4500,22472
2704,166,323,2728,320,22032,4300,22449
2656,211,440,2700,468,21880,4572,22357
2672,251,366,2708,388,22212,4260,22620
2672,375,849,2828,496,22008,4672,22503
2688,1,993,2865,544,22052,4432,22499
2640,13,946,2804,612,21980,4436,22431
2624,129,646,2705,772,22060,4884,22607
2656,364,634,2754,684,22100,4752,22615
2672,1563,322,3112,1108,22004,4016,22394
2688,1229,723,3042,1176,22172,4968,22752
2704,863,2199,3590,1456,21772,5656,22541
2672,1117,1426,3228,2040,21528,4840,22159
2688,58,700,2778,1672,21572,4872,22178
2672,166,605,2744,1692,21816,4580,22355
2640,514,3543,4448,976,22156,4988,22731
2672,940,1173,3065,508,21888,3036,22103
2640,1486,8,3029,124,21920,5924,22706
2640,1022,2526,3794,848,21440,5968,22271
2656,450,1247,2968,280,22500,5400,23140
2672,1834,1042,3404,1208,21840,5400,22530
2672,915,735,2918,1112,21920,4404,22385
2672,815,545,2846,1100,22100,4672,22615
2608,265,553,2679,1532,21796,4324,22273
2640,347,685,2749,1464,21892,4248,22348
2640,1432,289,3017,1384,21792,3872,22176
2640,1187,1292,3169,1272,21724,5524,22451
2624,376,1287,2946,1016,21516,6280,22436
2656,1143,1403,3213,1212,22140,5440,22830
2624,1787,1849,3673,1828,21828,4448,22351
2656,310,1228,2942,840,22148,4460,22608
2656,11,1236,2929,1396,22060,4124,22485
2640,143,514,2693,1348,21988,4012,22391
2624,236,308,2652,904,22040,4360,22485
2640,215,300,2665,1252,21984,4504,22475
2640,138,268,2657,1296,21888,4140,22313
2656,180,243,2673,1136,22000,4128,22412
2656,26,648,2734,1372,22024,4156,22454
2656,51,586,2720,1236,21832,4036,22236
2640,173,435,2681,1208,22012,3948,22395
2640,39,587,2704,1248,21984,3928,22367
2656,267,230,2679,1080,22036,4084,22437
2656,294,333,2692,1104,22012,4044,22407
2656,339,225,2686,1220,22032,4092,22441
2624,155,703,2720,1204,22028,3972,22415
2608,146,833,2741,1044,22076,3916,22444
2640,177,588,2710,1280,22076,4000,22471
2640,46,816,2763,1344,21996,3960,22389
2624,235,404,2665,1336,21972,3896,22354
2640,411,192,2678,1084,22072,3680,22402
2640,369,264,2678,1240,21960,3984,22352
2656,485,310,2717,1052,22164,3988,22544
2608,34,551,2665,1052,21900,3776,22248
2608,259,581,2684,1028,21812,3600,22130
