gx,gy,gz,grms,ax,ay,az,arms
3840,300,516,3886,2332,10556,18568,21485
3856,248,423,3887,1848,10376,18652,21423
3856,137,359,3875,1960,10276,18460,21218
3856,171,734,3928,1700,10332,18584,21330
3824,293,420,3858,1896,10804,18492,21500
3840,278,565,3891,2128,10508,18672,21531
3840,507,523,3908,1848,10384,18656,21431
3840,166,479,3873,1320,10224,18600,21265
3840,389,255,3868,1344,10404,18356,21142
3808,629,324,3873,2268,10832,18228,21324
3824,2767,150,4722,1428,9696,18088,20572
3840,1268,733,4109,2480,10144,18536,21275
3840,817,981,4046,2164,9816,18852,21364
3808,366,851,3919,1944,9796,18924,21397
3824,530,963,3978,2344,9952,18596,21221
3856,202,584,3905,2772,10544,18536,21504
3824,666,503,3914,2368,10380,18496,21341
3808,1378,127,4051,1552,10004,18308,20920
3856,1321,724,4139,3344,10788,18712,21856
3824,209,446,3855,2988,10492,18492,21470
3824,1697,1171,4344,1712,10488,18448,21289
3824,427,863,3943,1940,10160,18640,21317
3824,486,678,3913,1696,10280,18688,21396
3840,323,503,3886,1740,10016,18548,21151
3808,635,593,3905,2348,10688,18504,21497
3808,1544,436,4132,1652,9916,18360,20931
3840,83,667,3898,724,10220,17764,20506
3808,1148,254,3985,1676,10396,18524,21307
3840,2162,1004,4519,2408,9388,18504,20888
3840,1613,789,4239,2340,9048,19040,21209
3840,276,885,3950,852,8928,18564,20616
3840,368,1022,3990,2600,9008,18700,20918
3824,98,963,3944,1328,9048,18604,20730
3792,434,540,3854,1572,8468,18892,20762
3824,322,388,3857,2236,8664,18896,20907
3824,2730,549,4730,3928,8148,19148,21176
3808,2545,640,4624,1924,7844,19324,20943
3840,1648,1326,4384,2440,7500,19388,20930
3808,291,946,3934,2012,7380,19164,20634
3840,405,1310,4077,1716,7484,19072,20559
3808,252,585,3860,1532,7508,19108,20587
3824,517,347,3874,1632,7692,19104,20658
3824,48,462,3852,2020,8496,19256,21143
3824,123,1184,4004,1364,7820,19096,20680
3824,76,354,3841,1192,7632,18984,20495
3840,1013,568,4011,1496,7032,19368,20659
3808,409,566,3871,1432,7140,19280,20609
3776,77,719,3844,1312,7356,19204,20606
3808,496,965,3959,2240,7680,19128,20733
3792,1447,824,4141,1752,7552,18980,20502
3856,467,359,3900,1192,8344,18732,20540
3824,1702,574,4224,2316,7788,19212,20859
3808,820,785,3973,1788,7192,19452,20815
3840,668,620,3946,1468,7944,18808,20469
3808,807,877,3990,1156,7956,18876,20516
3872,461,672,3956,1428,7864,18116,19800
3792,107,932,3906,1580,7952,19152,20797
3792,1048,1202,4113,1304,7612,19132,20631
3792,598,595,3884,1752,8504,18924,20820
3824,438,351,3864,1808,8588,18584,20552
3808,2568,501,4620,1300,9484,19144,21403
3808,871,1570,4210,720,9044,17564,19768
3776,444,1091,3955,2400,9000,18884,21056
3808,1951,2326,4870,1600,9912,17276,19981
3808,1545,1594,4407,352,8744,17912,19935
3792,1636,660,4182,1964,8032,18660,20409
3792,2093,176,4334,3152,7080,20768,22166
3824,499,481,3886,2012,7192,19556,20933
3808,57,523,3844,2244,6656,19708,20922
3808,2439,712,4577,2340,8760,19244,21273
