gx,gy,gz,grms,ax,ay,az,arms
4160,247,632,4214,1224,20064,11024,22925
4144,20,399,4163,1244,20064,10496,22677
4128,157,801,4207,1188,20120,10596,22770
4144,89,230,4151,1472,20288,10528,22904
4144,1,495,4173,1216,20344,10576,22961
4144,165,519,4179,1328,20108,10412,22682
4128,83,518,4161,1284,20184,10340,22714
4144,200,764,4218,848,20112,10380,22648
4160,88,449,4185,1524,20408,10272,22898
4160,205,1040,4292,1112,20400,10304,22881
4144,128,592,4188,1556,20268,10544,22899
4192,82,745,4258,1412,20080,10384,22650
4128,843,583,4253,2436,20344,9860,22738
4144,246,961,4261,1444,20820,9948,23119
4144,581,1383,4407,1156,20020,10244,22518
4176,440,664,4251,948,20444,10068,22808
4176,438,663,4250,1080,20504,10168,22912
4128,425,800,4226,1076,20536,10412,23049
4176,263,652,4234,1028,20476,10360,22970
4160,282,745,4235,968,20484,10240,22921
4112,241,691,4176,936,20312,10412,22844
4144,52,593,4186,996,20380,10204,22813
4160,241,543,4202,788,20408,10236,22844
4160,297,413,4190,384,20352,10484,22896
4144,60,301,4155,608,20368,10276,22821
4112,239,420,4140,924,20316,10280,22787
4128,450,700,4211,644,20424,10276,22872
4128,190,419,4153,308,20272,10284,22733
4112,176,379,4133,656,20372,10248,22813
4128,107,380,4146,732,20368,10252,22814
4144,282,550,4189,384,20280,10232,22718
4128,282,258,4145,436,20492,10336,22955
4112,66,372,4129,684,20508,9884,22775
4112,309,718,4185,616,20536,10156,22918
4128,147,527,4164,372,20212,10376,22722
4144,72,553,4181,392,20324,10040,22672
4128,124,584,4170,848,20548,10144,22931
4112,123,501,4144,788,20444,10076,22805
4144,2,681,4199,868,20636,9888,22899
4128,101,402,4148,704,20368,9928,22669
4096,130,652,4149,852,20316,9888,22610
4128,313,752,4207,1116,20640,10100,23005
4144,229,693,4207,384,20396,9980,22710
4096,325,796,4185,956,20456,10184,22870
4128,545,962,4273,624,20500,10264,22934
4128,112,411,4149,896,20564,10132,22942
4112,183,388,4134,952,20472,10008,22807
4144,214,590,4191,260,20220,10220,22657
4112,247,668,4173,708,20544,10164,22931
4112,155,590,4157,452,20440,10080,22794
4176,381,781,4265,764,20436,10444,22962
4112,205,455,4142,328,20336,10252,22776
4112,23,305,4123,572,20368,10104,22743
4128,174,570,4170,780,20480,10228,22905
4128,366,518,4176,872,20488,10144,22878
4112,358,487,4156,648,20388,10304,22853
4096,233,615,4148,404,20368,10044,22713
4160,69,622,4206,588,20492,10060,22835
4096,317,452,4133,152,20184,10096,22568
4096,199,470,4127,184,20268,10356,22761
4128,172,668,4185,612,20540,10108,22900
4128,70,397,4147,984,20468,10152,22868
4128,315,505,4170,1144,20616,10236,23045
4112,202,718,4179,612,20324,10104,22705
4128,173,529,4165,1024,20404,9972,22733
4112,94,461,4138,476,20272,10296,22741
4128,49,485,4156,1272,20424,9964,22760
4128,124,473,4156,992,20320,10172,22745
4128,172,777,4204,644,20348,9736,22566
4112,218,900,4214,1000,20304,10120,22708
4112,310,726,4187,1072,20596,10148,22985
