gx,gy,gz,grms,ax,ay,az,arms
3824,179,814,3913,1808,9644,18620,21047
3856,840,468,3974,2008,10136,18968,21599
3840,826,445,3952,2256,10424,18596,21437
3840,440,445,3890,1932,10592,18600,21491
3840,145,591,3887,2064,10392,18556,21367
3856,329,483,3900,1304,10388,18624,21365
3824,27,599,3870,2040,10640,18480,21421
3792,98,518,3828,1516,10588,18244,21148
3824,158,569,3869,2012,10616,18356,21300
3840,234,657,3902,2228,10800,18136,21225
3840,464,680,3927,1520,10384,18672,21419
3824,404,729,3913,1260,10528,18280,21132
3856,1168,1025,4157,2320,10476,18540,21421
3856,1040,1092,4140,1684,10528,18724,21546
3856,1010,809,4067,1408,10436,18640,21408
3824,422,752,3920,388,10076,18752,21291
3840,1046,970,4096,1604,10176,18544,21213
3792,858,836,3976,1276,9880,18704,21191
3840,681,668,3956,1332,9672,18756,21144
3824,809,678,3967,800,9420,18960,21186
3824,704,616,3936,1640,9444,19124,21391
3824,108,476,3855,1268,9264,19124,21287
3776,371,574,3837,1612,9740,18756,21195
3808,164,611,3860,1544,9624,18720,21105
3792,184,680,3856,1468,9340,18752,21000
3792,368,715,3876,1600,9740,18732,21173
3824,810,858,4001,1112,9496,18740,21038
3808,736,712,3943,1008,9024,18864,20935
3808,779,557,3926,684,9140,19036,21127
3856,584,152,3902,552,9416,19264,21449
3840,442,549,3904,1620,9224,18688,20903
3840,37,445,3865,940,9864,18960,21393
3792,804,655,3931,1440,9256,18820,21022
3824,300,527,3871,1364,8676,18960,20895
3824,49,565,3865,676,9116,18588,20714
3808,421,456,3858,1272,9408,18724,20993
3824,1057,692,4027,1488,9872,18724,21219
3792,148,450,3821,1284,9228,18696,20888
3824,321,710,3902,724,10048,18632,21181
3792,1243,687,4049,1340,9524,18416,20776
3808,551,497,3879,1344,10032,18760,21316
3792,1083,774,4018,744,9400,18920,21139
3792,896,694,3957,1808,9224,18492,20743
3824,1166,645,4049,1188,9988,19608,22037
3808,432,752,3905,1204,9600,18812,21154
3808,662,982,3987,920,9792,18576,21018
3792,1008,1229,4111,288,9132,18892,20985
3808,1269,1178,4183,184,9148,18872,20973
3840,655,650,3949,164,9456,19004,21227
3824,1003,363,3969,24,9428,18848,21074
3792,747,452,3891,220,9556,18744,21040
3792,132,244,3802,92,10064,19008,21508
3808,980,574,3973,904,9340,18564,20800
3808,1147,503,4008,812,9676,18920,21266
3840,173,41,3844,236,9856,18936,21348
3808,158,96,3812,1040,9616,18812,21152
3776,782,150,3859,908,9484,18740,21022
3792,652,211,3853,1392,9460,18892,21173
3824,299,319,3848,1520,9692,18804,21209
3824,1118,690,4043,700,9480,19604,21787
3792,1846,866,4305,1288,10272,18108,20858
3776,351,508,3826,1672,10244,18620,21317
3808,420,842,3922,1460,10088,18692,21290
3808,681,770,3944,968,10056,18676,21233
3824,336,597,3884,1408,10440,18584,21362
3792,21,809,3877,1256,10440,18584,21352
3824,1166,716,4061,1456,10324,18384,21134
3792,699,514,3889,772,10360,18900,21567
3792,146,547,3834,1276,10044,18796,21349
3824,47,438,3849,1424,10488,18472,21289
3776,171,601,3827,812,10192,18796,21396
3776,622,407,3848,604,10488,18504,21278
3824,1336,468,4077,860,10672,18404,21291
3792,99,678,3853,1584,10816,18380,21385
3792,182,606,3844,1308,11364,18392,21659
3792,528,722,3896,1004,10924,18252,21295
3776,1016,714,3974,520,10872,18624,21571
3792,720,515,3893,1188,10820,18560,21516
3792,740,459,3890,848,10400,18628,21351
3792,264,623,3851,604,10396,18608,21323
3776,240,591,3829,660,10416,18600,21328
3824,486,554,3894,836,10436,18604,21347
3792,249,556,3840,660,10332,18456,21161
3792,203,555,3837,1020,10540,18696,21486
3776,45,294,3787,1576,10616,18616,21488
3792,164,515,3830,1184,10592,18540,21385
3792,259,638,3854,832,10476,18544,21314
3760,284,565,3812,868,10544,18632,21426
3808,274,580,3861,1552,10628,18548,21433
3792,273,593,3847,1472,10564,18500,21354
3792,167,618,3845,1480,10588,18424,21301
3808,106,725,3877,548,10536,18484,21282
3744,59,688,3807,1472,10592,18404,21285
3760,255,705,3834,708,10516,18608,21385
3760,83,1055,3906,576,10904,18568,21540
3792,752,728,3933,1428,10504,18356,21197
3760,508,340,3809,544,10492,18768,21508
3760,614,385,3829,648,10380,18536,21254
3792,395,688,3874,560,10212,18796,21398
3792,793,766,3949,1168,10256,18432,21125
3808,885,756,3981,556,9960,18920,21388
3808,697,435,3895,1176,10408,17784,20639
3792,949,445,3934,1080,9900,18600,21098
3792,776,285,3881,848,9648,18820,21165
3760,132,577,3806,1248,10244,18820,21463
3792,231,653,3854,824,10020,18704,21234
3760,196,557,3806,1232,10208,18512,21175
3744,60,614,3794,1336,10376,18692,21420
3792,241,525,3835,936,10240,18664,21309
3776,340,431,3815,552,10172,18436,21063
3776,259,1023,3920,432,10700,17912,20869
3792,630,2218,4437,400,10880,17680,20763
3792,6465,1194,7589,1644,9956,17280,20010
