gx,gy,gz,grms,ax,ay,az,arms
4080,671,447,4158,3512,10860,18368,21625
4016,54,953,4127,3836,11008,18252,21657
4032,1494,1057,4427,2816,10644,17740,20878
4064,1691,1003,4514,3080,10408,18256,21238
4032,2195,1239,4755,3444,10108,18540,21395
4064,2643,854,4922,2064,8992,18136,20347
4048,5433,3459,7607,4020,8788,19780,22014
4048,739,1067,4250,4036,8536,20164,22265
4064,617,866,4200,1184,7720,18700,20265
4032,1335,487,4275,2696,7916,18644,20433
4064,1262,366,4271,3232,9192,18980,21334
4064,2939,56,5015,3660,9020,18584,20979
4048,1955,1120,4632,4720,9428,17860,20739
4016,576,521,4090,4292,9776,18176,21079
4048,8176,571,9141,1772,7540,17072,18746
4048,5210,2680,7121,6464,10292,19868,23290
4064,4158,3285,6678,3908,6548,18208,19740
4032,2335,967,4758,4260,10544,18172,21437
4032,3011,12,5032,4344,9672,18764,21552
4032,2587,554,4822,3852,10760,18712,21926
4016,585,45,4058,4688,10108,17996,21166
4048,5879,675,7169,4216,8708,17600,20083
4032,8917,2454,10089,6500,8012,20328,22796
4032,10006,3427,11319,6256,9096,21148,23856
4016,1955,1769,4804,2384,6764,18564,19901
4048,3277,1274,5361,3316,9148,18580,20973
4032,2250,223,4622,4152,9488,18296,21023
4032,631,542,4116,4456,9936,17996,21034
4048,11386,805,12110,3020,9532,17308,19988
4048,3754,1284,5668,5264,8656,20228,22623
4064,2463,1897,5116,1856,7096,17436,18915
4016,5715,30,6985,2568,8932,18200,20435
4016,1834,20,4414,3616,9812,18716,21439
4032,195,204,4041,3960,9776,17856,20738
4064,4307,244,5926,2868,9064,17568,19975
4032,6150,2543,7781,5880,9972,18688,21983
4016,2444,922,4790,4324,8340,19988,22085
4016,3046,270,5047,2344,7300,18200,19749
4016,5095,476,6504,3728,8936,18536,20912
4016,2675,1460,5041,4628,9892,18036,21084
4016,320,1304,4234,4520,9988,18228,21270
4016,3163,1357,5289,4060,9204,18196,20791
4048,4130,1636,6009,5912,11264,19580,23349
4032,61,2921,4979,5308,9344,19868,22588
4032,6188,2818,7905,3240,8684,18824,20982
4016,4251,449,5865,3036,9596,18248,20839
4016,2665,719,4873,3628,10616,18156,21342
4016,353,140,4033,3332,10816,18088,21336
4032,6705,2843,8324,688,6736,17832,19074
4032,12625,1302,13317,5796,11268,19040,22871
4000,3680,2688,6063,5904,9016,20732,23365
4016,857,286,4116,2204,8704,17560,19722
4000,1725,972,4463,3548,9420,18304,20889
4032,1181,570,4239,3664,10188,18644,21559
4000,42,306,4011,4580,9676,18192,21108
4000,5361,1155,6787,2308,7828,17784,19567
4000,8669,3865,10299,4788,9312,19680,22292
4016,1664,2368,4950,4732,7484,20496,22326
4016,4876,732,6359,2664,7396,18424,20031
4048,5126,971,6603,2872,8744,18932,21050
4016,2705,298,4851,4684,9836,17700,20784
4048,305,313,4071,4192,10012,18244,21228
3984,6628,39,7733,2392,9036,17776,20083
3984,5149,3515,7398,6836,8152,19712,22399
4032,11211,5608,13167,5588,8656,19936,22440
4000,4575,347,6086,2828,8960,19024,21217
4016,3139,396,5112,3460,10524,18556,21611
4048,184,78,4052,3592,10632,18004,21215
3984,3101,468,5070,2396,9044,17356,19717
4000,8752,5464,11065,9568,11892,21160,26090
4000,5571,2468,7288,2948,7948,18512,20360
4048,15,319,4060,2224,8968,18252,20457
3984,827,438,4092,3784,10056,18488,21383
3984,182,156,3991,3672,9800,18164,20963
4000,5320,602,6683,1416,7864,18212,19887
4000,7976,1881,9118,5532,9644,19296,22269
4000,3042,3603,6183,5464,8780,20480,22942
4000,3968,1635,5866,1792,8460,18096,20056
4000,1979,724,4521,3308,9308,18528,20996
4032,990,344,4165,3148,9172,18616,20990
4032,101,687,4091,3612,9328,18032,20620
4000,5341,1893,6936,3556,9576,18148,20825
4000,6069,241,7272,3604,7980,18732,20677
4016,5752,3277,7742,4752,7728,18948,21007
3984,2832,382,4902,4788,8164,18668,20930
4016,927,40,4121,4116,8780,18516,20901
4000,564,223,4045,2840,8772,18480,20652
4032,54,993,4152,3860,9000,18360,20808
4000,5057,1040,6531,6648,8696,19872,22687
4000,5104,3029,7157,4156,8204,19612,21661
3968,1983,32,4436,2716,8256,18116,20092
4000,1218,105,4182,3816,8640,18976,21196
3968,417,687,4048,3012,8932,18568,20823
4016,9638,3429,10989,1500,7172,17728,19182
4016,357,2039,4518,6704,9148,20264,23221
4032,3319,1538,5444,2456,7872,17984,19784
3984,2266,1071,4706,3716,8508,18684,20863
3984,51,799,4063,3464,8864,18384,20701
3984,1055,738,4186,3708,8916,18844,21174
3968,5874,1567,7259,2312,7228,17424,19004
3984,4945,516,6371,5492,8112,20176,22428
4016,3446,2519,5860,3472,7140,19232,20806
4016,2307,422,4650,2712,8376,18200,20217
3984,858,915,4176,3720,9188,18332,20840
4016,32,274,4025,3348,8268,19008,20996
4016,375,637,4083,2980,8260,17948,19980
4000,7754,1947,8939,4712,8032,19560,21663
3968,4574,5213,7990,3632,7236,19412,21032
4000,2839,334,4916,2304,7300,18500,20021
4000,5336,1705,6883,4228,8832,18968,21346
3968,174,276,3981,4172,9256,18692,21271
3936,390,1169,4124,3312,9312,18188,20699
3968,7489,947,8528,5880,10324,18644,22107
4000,3904,5720,7997,4048,9128,20488,22791
4000,1679,574,4375,2512,8212,18260,20178
4000,2419,873,4755,2992,8880,18644,20866
3968,277,709,4040,3564,9348,19064,21529
3984,1222,1152,4323,1336,9168,17752,20024
3984,4549,1360,6198,5484,9212,18984,21802
4000,3526,703,5378,2540,6932,19156,20529
4000,2278,3188,5599,3068,7688,19808,21467
3968,3588,355,5361,1824,7932,18168,19907
3936,5,1076,4080,2948,8300,18580,20562
3968,92,374,3986,3204,9136,18700,21057
3984,3420,670,5293,2008,7304,18152,19669
3984,4950,614,6383,5260,7832,19356,21532
3984,3938,2389,6089,4900,9036,20504,22936
3984,3871,528,5579,1188,7608,18084,19655
3952,248,1047,4095,2500,8868,18352,20535
4000,1071,707,4200,3048,8912,19184,21371
3952,2112,465,4505,2516,9112,18496,20771
3984,4674,771,6189,3860,8560,19020,21211
4000,1693,1604,4630,4988,7432,19708,21645
3952,7367,3144,8931,3152,7292,18704,20321
3920,1383,37,4156,2892,8256,18496,20460
3952,99,550,3991,2992,9292,18572,20981
3984,404,702,4065,2752,8548,18968,20986
3952,1199,1030,4256,3328,9148,18428,20841
3952,9602,3892,11088,1872,9048,19476,21556
3952,2026,2644,5168,5548,8292,21204,23433
3968,4911,1306,6447,2924,7128,18704,20228
3968,1394,429,4227,2756,7636,18636,20327
3968,432,498,4022,2728,8756,18840,20953
3968,173,857,4063,3184,8496,19152,21192
3968,1880,677,4442,2632,7960,17772,19650
3968,3558,265,5336,4584,7908,20020,22007
3968,1473,1594,4522,3708,6880,20208,21666
3936,5325,2584,7108,2248,6696,18720,20008
3968,624,600,4061,3408,6724,19232,20656
3936,1220,603,4164,4160,7628,19720,21549
