gx,gy,gz,grms,ax,ay,az,arms
3776,407,1839,4219,1068,18388,11408,21665
3760,103,1856,4194,1324,21020,11212,23860
3760,7,532,3797,804,19588,11284,22620
3744,1205,907,4036,1272,19088,10644,21892
3776,172,343,3795,1088,20100,11340,23103
3760,578,2406,4501,956,18112,10408,20911
3760,83,2281,4398,1252,19848,12240,23352
3728,153,1631,4072,1956,21116,11248,24004
3776,1369,1234,4201,2196,19656,11260,22758
3760,635,1211,4000,1768,20656,11956,23932
3760,630,502,3845,492,18556,10616,21383
3744,803,1202,4013,1172,18736,11012,21764
3744,1112,1395,4147,2040,20580,10892,23373
3776,200,323,3795,764,18836,11456,22059
3776,570,159,3822,1452,20016,11004,22887
3760,344,91,3776,836,19448,11044,22380
3728,208,915,3844,668,19924,11336,22932
3744,1370,1022,4115,568,18944,10708,21768
3744,139,353,3763,736,20480,11284,23394
3744,1575,1674,4393,1316,19892,11320,22925
3760,1155,610,3980,644,19660,10676,22380
3728,198,2030,4249,1008,19008,11136,22052
3744,647,693,3862,720,20460,10616,23061
3744,804,565,3870,228,21736,11740,24704
3760,1715,1601,4431,656,18404,9832,20875
3728,989,1658,4198,700,19400,10836,22232
3712,189,27,3716,728,20024,11660,23182
3744,275,1239,3953,952,18152,10428,20955
3728,487,664,3817,1136,19908,10964,22755
3760,772,1459,4106,632,19500,11208,22500
3744,443,1233,3966,376,19740,10952,22577
3712,183,782,3797,644,19744,11504,22860
3728,50,759,3804,1232,20020,11052,22901
3744,672,1182,3983,1008,18452,10332,21171
3728,190,678,3793,240,19244,11080,22207
3776,675,233,3842,1340,19676,11072,22617
3728,464,264,3766,1432,20224,11080,23104
3744,7,305,3756,292,19588,11020,22476
3744,504,372,3796,1444,19716,10716,22486
3712,580,216,3763,1312,20156,11532,23258
3728,324,1104,3901,1376,22532,11260,25226
3744,558,2093,4325,1472,20264,10760,22990
3760,9,77,3760,1424,19816,11528,22969
3712,452,186,3744,1008,20104,11392,23129
3744,286,1289,3969,1172,19528,10832,22361
3712,294,1508,4017,1136,20140,11424,23182
3728,254,1310,3959,1772,20096,10932,22945
3728,392,1498,4036,1332,19424,11848,22791
3760,207,107,3767,1620,19372,11232,22451
3744,135,162,3749,1072,20288,11188,23193
3712,756,107,3789,408,18588,9820,21026
3712,748,1498,4072,1696,19272,11096,22302
3744,495,1042,3917,1116,18864,11180,21956
3728,1013,508,3896,720,20184,10920,22959
3728,858,960,3944,824,19116,11092,22116
3744,113,120,3747,692,19680,11500,22804
3728,21,755,3803,1020,20388,11164,23266
3712,213,864,3817,1116,17824,11484,21232
3696,71,1516,3995,1216,18636,11284,21819
3712,239,582,3764,824,19368,11204,22390
3680,511,965,3838,1124,18924,10628,21733
3744,16,671,3803,1388,19604,10864,22455
3728,595,2175,4356,476,19852,11736,23066
3696,134,1050,3844,1328,19564,10860,22415
3712,383,1009,3865,1016,20576,11052,23378
3712,159,132,3717,1336,19320,11360,22452
3744,8,456,3771,720,19556,11272,22583
3712,77,958,3834,1072,19792,11136,22735
3712,53,573,3756,184,19816,11488,22905
3744,517,1240,3977,880,19044,10656,21840
3712,76,1167,3891,280,18360,11348,21585
3712,1174,769,3968,536,19820,11032,22689
3744,197,2091,4292,860,19932,11164,22861
3712,598,648,3815,640,20272,11060,23101
3696,430,487,3752,1848,20796,10908,23555
3696,1368,1684,4285,844,19752,11108,22676
3728,379,328,3761,1544,19920,11000,22807
3728,278,2098,4286,1276,20048,11096,22949
3728,192,2211,4338,844,19912,11208,22865
3696,552,1157,3912,1104,19304,11352,22421
3696,225,381,3722,1508,20036,11132,22970
3696,59,684,3759,1904,20264,11200,23231
3712,393,2544,4517,1704,19504,11296,22603
3712,268,498,3754,1820,19268,10944,22233
3712,497,1274,3955,956,19528,10628,22253
3696,77,420,3720,648,20000,10836,22756
3712,922,209,3830,1288,19788,10716,22540
