gx,gy,gz,grms,ax,ay,az,arms
4176,374,916,4291,688,6024,19292,20222
4176,101,796,4252,600,6192,19408,20380
4176,195,673,4234,1300,6144,19404,20394
4144,76,444,4168,892,6100,19532,20481
4144,382,749,4228,580,6624,19008,20137
4144,1608,356,4459,2008,6396,18908,20061
4144,44,680,4199,316,6928,19600,20790
4176,7094,3533,8958,2272,4916,19000,19756
4144,454,659,4220,452,5496,19356,20126
4176,3388,1287,5529,564,5444,20288,21013
4144,979,922,4356,824,5692,19256,20096
4176,424,405,4216,64,7056,18852,20129
4176,347,275,4199,1424,6168,19104,20125
4128,58,754,4196,448,7020,19824,21035
4160,428,584,4222,648,6604,19156,20272
4144,1053,357,4290,596,6904,19716,20898
4128,974,4908,6486,1332,10396,19892,22484
4128,1013,1004,4367,152,8612,19644,21449
4160,2177,370,4709,664,3644,19376,19726
4128,1276,220,4326,1644,6800,18984,20232
4128,102,617,4175,1316,7244,19172,20537
4128,2157,5907,7522,400,8568,18636,20515
4144,64,1829,4530,496,7668,20024,21447
4144,1622,179,4453,1336,5624,18724,19595
4128,949,42,4235,356,6756,19460,20602
4112,1891,28,4526,1468,7040,19196,20498
4144,252,802,4228,1004,7192,19448,20759
4144,6615,6708,10292,3308,928,16756,17104
4144,1443,194,4392,484,5392,20312,21021
4128,438,1236,4331,428,7108,19660,20909
4144,1005,656,4314,1536,5680,18992,19882
4144,116,79,4146,1168,6724,19164,20342
4112,1234,982,4404,1524,7204,19556,20896
4128,110,1525,4402,572,7072,19756,20991
4128,6575,5861,9727,1672,1808,17832,18001
4160,329,1585,4463,1444,6344,19644,20693
4144,28,552,4180,1148,6520,19612,20699
4128,1158,549,4322,888,5856,19188,20081
4128,1341,978,4449,744,6412,19000,20066
4144,1428,468,4408,364,6312,19180,20195
4128,437,594,4193,244,6520,19360,20429
4144,271,422,4174,840,7264,19100,20451
4112,3444,3015,6153,4,6104,19408,20345
4160,367,944,4281,600,9704,20436,22630
4096,2046,907,4667,900,6092,18784,19767
4128,2468,852,4884,896,7660,19732,21185
4128,816,82,4208,308,6860,19652,20817
4128,203,10,4133,20,6760,20280,21377
4096,5172,3649,7539,3760,648,16104,16549
4128,150,235,4137,396,8056,20244,21791
4080,1514,619,4395,700,5800,19232,20099
4144,1218,459,4343,1220,6024,19088,20053
4112,595,449,4179,1104,7664,19172,20676
4112,804,18,4189,876,6812,19140,20334
4096,770,480,4195,1188,7364,19060,20467
4128,758,2723,5002,328,8072,19596,21195
4096,472,1613,4427,160,9132,20008,21994
4096,2425,1251,4921,2288,5356,18172,19082
4096,747,912,4262,1344,7308,18624,20051
4128,176,134,4133,1356,8260,19072,20828
4096,47,542,4131,1844,7692,18960,20543
4064,3903,4055,6942,2816,4024,17772,18438
4096,487,116,4126,344,7500,20248,21595
4096,304,806,4185,960,8384,20024,21729
4096,2814,648,5011,1712,6788,19104,20346
4096,510,24,4127,1636,7168,18904,20283
4096,308,172,4111,948,7436,19672,21051
4128,3096,2318,5656,2644,4388,17180,17927
4096,1263,123,4288,1320,8156,21052,22615
4080,1252,1095,4406,20,6904,19440,20629
4112,684,285,4178,1916,5880,18716,19711
4096,357,714,4173,1156,7708,18788,20340
4096,361,381,4129,1040,7172,19348,20660
4112,6041,1893,7548,1448,11520,20136,23243
4096,786,998,4288,164,9492,18336,20647
4064,3494,1756,5639,388,8960,19984,21904
4064,675,956,4229,1804,8184,19496,21220
4080,42,329,4093,1100,8012,18744,20414
4096,83,366,4113,1160,7260,19392,20738
4096,707,290,4166,1216,7980,19304,20923
4064,306,4353,5963,460,7072,19576,20819
4080,1608,1527,4643,372,11444,19512,22623
4080,1934,974,4619,1292,5964,19292,20234
4080,298,59,4091,1168,7476,19404,20827
