  4336,    20,   733,  4397,  2452, 14728, 16424, 22196
  4336,   464,   539,  4393,  2748, 14748, 16512, 22309
  4320,   362,   483,  4361,  2372, 14648, 16464, 22164
  4336,   217,   497,  4369,  2212, 14676, 16460, 22163
  4320,   256,   465,  4352,  2540, 14752, 16368, 22180
  4336,   239,   442,  4365,  2764, 14768, 16436, 22268
  4304,  1089,  1061,  4564,  2528, 14836, 16512, 22341
  4320,   912,   932,  4512,  2216, 15904, 16444, 22983
  4320,    27,   640,  4367,  2444, 15124, 16104, 22227
  4320,  4606,   350,  6324,  2372, 15276, 16268, 22441
  4304,    83,   306,  4315,  2312, 14792, 17536, 23057
  4320,  2859,  1850,  5500,  3104, 14704, 16332, 22194
  4288,   122,   454,  4313,  2888, 15216, 15768, 22101
  4288,   204,   260,  4300,  2284, 15116, 16640, 22596
  4320,  1152,   447,  4493,  3632, 13676, 15508, 20993
  4320,  3358,  1299,  5623,  2224, 14832, 17276, 22877
  4304,  3494,  1722,  5804,  2756, 14504, 16904, 22443
  4304,   675,  1615,  4646,  3516, 14880, 15956, 22099
  4320,  1228,   116,  4492,  3024, 15096, 16184, 22337
  4336,   922,   946,  4532,  2856, 15028, 15952, 22101
  4288,  6872,  2706,  8540,  2204, 14860, 16872, 22590
  4272,   178,   824,  4354,  2372, 13892, 18092, 22933
  4320,  2958,  2446,  5778,  5068, 12800, 16004, 21110
  4304,  1597,  2257,  5115,  2956, 14876, 16848, 22669
  4320,   600,   233,  4367,  3104, 14796, 16424, 22322
  4336,   828,   635,  4459,  4188, 13320, 15548, 20897
  4320,  4860,  1322,  6635,  3428, 14016, 16512, 21928
  4304,  2163,   429,  4836,  3372, 14168, 17136, 22488
  4320,   993,  1384,  4643,  4452, 13048, 16236, 21299
  4352,   353,   997,  4478,  3008, 15288, 16608, 22772
  4352,  2989,  1408,  5464,  3056, 14596, 17576, 23049
  4304,  1750,  1618,  4919,  3848, 14328, 15668, 21577
  4336,  4174,  1422,  6184,  3336, 14656, 16344, 22204
