gx,gy,gz,grms,ax,ay,az,arms
4096,289,864,4196,612,17892,14048,22756
4096,116,1012,4220,396,18164,14024,22951
4128,904,660,4277,560,18640,13600,23080
4176,75,576,4216,376,18092,14280,23051
4096,353,42,4111,48,16092,14544,21690
4128,4212,1351,6050,80,16244,13904,21382
4112,1674,1020,4555,1304,20468,12828,24190
4144,1102,1904,4691,40,20020,15632,25400
4160,1885,915,4657,528,16572,13640,21469
4144,383,1285,4355,572,19960,15844,25490
4112,158,2574,4853,712,20724,15048,25620
4096,784,411,4190,64,17736,14012,22603
4176,1010,252,4303,536,18296,13776,22908
4160,1679,206,4490,292,19032,13624,23407
4128,1360,800,4419,672,19436,13136,23468
4112,794,651,4238,636,18748,13256,22969
4128,751,2252,4761,368,16860,13528,21619
4112,212,409,4137,168,17592,13652,22268
4128,634,1284,4369,424,17532,14068,22482
4128,898,387,4242,312,18076,13752,22714
4096,405,1465,4368,676,17772,14652,23043
4112,4062,589,5809,200,17648,13688,22335
4128,4744,297,6295,160,16984,12956,21362
4128,1074,2646,5019,1028,20192,17080,26466
4160,523,407,4212,324,19248,13812,23693
4144,660,595,4238,864,18200,14380,23211
4144,665,1609,4494,264,17428,14684,22790
4128,2342,303,4755,844,20536,13304,24483
4144,2015,678,4657,984,19072,13448,23357
4112,83,1795,4487,1024,18376,12932,22493
4112,1057,586,4285,112,18248,13032,22423
4160,696,1275,4406,500,18636,13452,22989
4080,591,80,4123,96,18372,13012,22513
4128,2567,771,4921,216,19656,12956,23542
4128,4890,1831,6656,836,18848,13236,23046
4128,1302,1399,4548,376,18400,12716,22369
4112,563,460,4175,64,18432,13280,22717
4160,196,721,4226,24,18320,13856,22969
4096,1027,65,4223,728,17588,13264,22040
4128,2418,1237,4941,128,18908,13568,23272
4112,1544,1041,4513,600,20224,12704,23890
4096,1344,2274,4873,84,16128,13000,20715
4096,1053,323,4241,124,18380,13548,22833
4096,265,846,4190,216,17704,13572,22308
4128,294,411,4158,96,18020,13680,22624
4144,689,339,4214,0,18428,13388,22777
4096,3667,501,5520,432,19552,14032,24069
4112,2820,335,4997,1104,15788,13736,20956
4128,422,1037,4277,904,18276,13676,22844
